"","Pitcher_Name","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV","IP","ERA","WHIP"
"144","JOSH LUEKE",3,0,2,2,5,1,0,1,0,0,3,6,3,0.67
"145","JOVANY LOPEZ",9,1,10,10,2,2,0,0,0,1,0,3.1,27,3.3
"146","JUAN GRULLON",8,0,4,2,4,4,0,1,0,0,0,3.2,4.91,3.27
"147","JUAN MACIAS",3,0,0,0,5,1,0,0,0,0,0,4,0,1
"148","JUAN OMAR ESPINOZA",2,1,1,1,5,1,0,0,0,0,0,6,1.5,0.5
"149","JUAN PABLO ORAMAS",15,1,6,4,11,7,0,1,0,0,0,17,2.12,1.29
"150","JUAN RAMON NORIEGA",6,0,2,2,4,1,0,2,0,2,0,7.1,2.45,0.95
"151","JUAN RODRIGUEZ",5,0,4,4,2,5,0,0,0,2,0,5,7.2,2
"152","JUAN SANDOVAL",8,2,5,5,5,0,0,0,1,2,0,6.1,7.11,1.26
"153","JULIAN ARBALLO",6,1,2,2,5,3,0,0,0,1,0,4.1,4.15,2.08
"154","JULIO FELIX",6,0,5,5,3,2,0,1,0,1,0,6.2,6.75,1.2
"155","KELVIN MARTE",16,0,9,9,7,7,0,1,1,0,0,15.2,5.17,1.47
"156","KYLE DRABEK",7,2,11,11,2,7,0,0,2,0,0,2,49.5,7
"157","KYLE LOBSTEIN",14,0,2,2,10,9,0,1,0,0,0,14.1,1.26,1.6
"158","LENIX OSUNA",2,1,2,2,2,0,0,0,0,0,0,1,18,2
"159","LEURIS GOMEZ",17,1,7,6,11,5,0,0,1,0,0,13.1,4.05,1.65
"160","LINDER CASTRO",9,0,2,2,7,1,0,1,0,1,0,6.2,2.7,1.5
"161","LOIGER PADRON",1,0,0,0,1,1,0,1,0,1,0,1.2,0,1.2
"162","LUIS ANGEL DANIEL",3,0,3,3,8,5,0,0,0,1,0,7.1,3.68,1.09
"163","LUIS AYALA",4,0,3,3,5,2,0,0,1,0,1,2.2,10.12,2.25
"164","LUIS DE LA O",4,0,3,2,3,1,0,0,0,0,0,5,3.6,1
"165","LUIS DE LUNA",3,0,2,1,5,2,0,0,0,0,0,3.2,2.45,1.36
"166","LUIS IVAN RODRIGUEZ",6,0,6,6,5,4,0,1,2,2,0,6,9,1.67
"167","LUIS MENDEZ",21,4,16,15,8,5,0,0,3,0,0,12.1,10.95,2.11
"168","LUIS NIEBLA",14,2,8,8,10,8,0,1,2,0,0,12,6,1.83
"169","LUIS PAYAN",11,1,6,3,4,3,0,0,2,0,0,8.2,3.12,1.62
"170","LUIS PEREZ",16,3,11,11,9,7,0,1,1,0,0,12.1,8.03,1.86
"171","MAIKEL CLETO",4,0,1,1,7,2,0,0,1,0,3,7,1.29,0.86
"172","MANNY ACOSTA",3,0,0,0,6,0,0,2,0,4,0,8,0,0.38
"173","MANNY BARREDA",1,0,2,2,1,3,0,0,0,0,0,0.1,54,12
"174","MANUEL AL FLORES",14,2,10,10,6,1,0,0,1,0,0,8.1,10.8,1.8
"175","MANUEL BAEZ",8,1,4,4,4,0,0,0,0,5,0,4,9,2
"176","MANUEL VALDEZ",2,0,4,4,7,4,0,0,1,5,0,4.2,7.71,1.29
"177","MARCO ANTONIO DUARTE",11,3,8,8,7,5,0,1,0,0,0,8.2,8.31,1.85
"178","MARCO CAMARENA",4,1,5,5,1,3,0,0,0,0,0,6,7.5,1.17
"179","MARCO CARRILLO",18,3,9,8,9,4,0,0,0,0,0,16.1,4.41,1.35
"180","MARCO MENDIVIL",2,0,1,1,0,0,0,0,0,0,0,2.1,3.86,0.86
"181","MARCO QUEVEDO",8,2,3,3,5,2,0,0,0,1,0,7.2,3.52,1.3
"182","MARCO RAMIREZ",4,0,5,5,4,4,0,1,0,0,0,4.2,9.64,1.71
"183","MARCO TOVAR",5,1,1,1,6,7,0,2,0,0,0,11,0.82,1.09
"184","MARCOS MACHADO",7,1,4,4,0,1,0,0,0,0,0,2.2,13.5,3
"185","MARCOS RIVAS",4,0,0,0,3,1,0,0,0,2,0,7.2,0,0.65
"186","MARIO GONZALEZ",16,2,7,5,3,2,0,0,1,0,0,11.2,3.86,1.54
"187","MARIO MORALES",7,2,5,5,2,4,1,0,0,2,0,6.1,7.11,1.74
"188","MARK SERRANO",4,2,2,2,5,0,0,0,0,2,0,4.2,3.86,0.86
"189","MARK SIMON",2,2,3,3,5,1,0,0,0,0,0,2.2,10.12,1.12
"190","MARLON ARIAS",12,2,11,11,10,13,0,0,0,0,0,14,7.07,1.79
"191","MARTIN SOTELO",8,3,5,4,1,1,0,0,0,1,0,4.2,7.71,1.93
"192","MAURICIO LARA",17,1,11,9,13,6,0,0,1,0,0,12,6.75,1.92
"193","MICHAELANGELO GUZMAN",7,1,6,4,1,5,0,0,1,0,0,2,18,6
"194","MIGUEL MEJIA",8,2,4,4,3,2,0,2,0,0,1,6,6,1.67
"195","MIGUEL PENA",10,1,7,6,2,5,0,0,0,0,0,9.1,5.79,1.61
"196","MITCH LAMBSON",15,1,4,4,13,4,0,3,0,0,0,18,2,1.06
"197","NATHANAEL SANTIAGO",4,0,5,5,6,4,0,0,0,2,0,5,9,1.6
"198","NESTOR MOLINA",3,0,0,0,6,0,0,1,0,0,0,6,0,0.5
"199","NICK STRUCK",6,0,1,1,6,3,0,0,1,3,0,7,1.29,1.29
"200","NICOLAS HEREDIA",8,1,5,5,6,1,0,0,0,0,0,5.1,8.44,1.69
"201","NORMAN ELENES",3,0,2,1,5,4,1,1,0,0,0,5.2,1.59,1.24
"202","OCTAVIO ACOSTA",15,1,7,6,14,5,0,1,0,0,0,17,3.18,1.18
"203","ORLANDO LARA",14,3,7,7,13,3,0,1,1,0,0,15,4.2,1.13
"204","OSCAR FELIX",4,1,6,6,2,3,0,0,0,1,0,2,27,3.5
"205","OSCAR HURTADO",10,0,9,9,6,12,0,0,0,3,0,7.2,10.57,2.87
"206","OSCAR VERDUGO",10,2,5,5,7,2,0,0,1,0,0,7,6.43,1.71
"207","OSWALDO MARTINEZ",4,1,2,2,2,3,0,1,0,0,0,3.2,4.91,1.91
"208","OZZIE MENDEZ",4,0,3,2,2,3,0,0,0,2,0,3,6,2.33
"209","PATRICK JOHNSON",9,0,4,3,6,2,0,1,1,0,0,10,2.7,1.1
"210","PATRICK MCCOY",4,0,0,0,4,0,0,0,0,3,0,6,0,0.67
"211","PAUL CLEMENS",5,1,2,2,5,3,0,0,0,0,0,8,2.25,1
"212","PAUL PAEZ",3,0,5,5,1,2,0,0,0,0,0,0.2,67.5,7.5
"213","PEDRO RODRIGUEZ",3,0,0,0,3,2,0,0,0,0,3,5.2,0,0.88
"214","PEDRO VILLARREAL",2,1,2,2,1,0,0,0,0,0,0,5.2,3.18,0.35
"215","PHIL COKE",4,0,4,4,3,1,0,0,1,0,0,4,9,1.25
"216","RAFAEL DIAZ",8,3,5,5,7,1,0,0,0,0,0,7.2,5.87,1.17
"217","RAFAEL MARTIN",2,1,1,1,7,0,0,0,1,0,2,5,1.8,0.4
"218","RAFAEL PINEDA",10,0,5,5,5,2,0,0,0,0,0,8.1,5.4,1.44
"219","RAUL BARRON",10,0,4,4,5,1,0,0,0,0,2,5,7.2,2.2
"220","RAUL CARRILLO",15,2,7,6,7,4,0,1,0,0,0,11.1,4.76,1.68
"221","RAUL VALDES",2,1,2,2,3,3,0,1,0,0,0,5,3.6,1
"222","REFUGIO MARIN",2,0,0,0,0,2,0,0,0,0,0,2,0,2
"223","REINIER ROIBAL",15,0,8,8,8,2,0,0,1,0,0,9.2,7.45,1.76
