"","X","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"142",142,"EDGAR GOMEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"143",143,"EDGAR GONZALEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"144",144,"EDGAR TORRES",0,0,0,0,0,0,0,0,0,0,0,0,0
"145",145,"EDSON GARCIA",53,7,14,1,0,2,11,6,7,1,0,1,1
"146",146,"EDUARD SANTOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"147",147,"EDUARDO ARREDONDO",39,8,11,1,0,0,2,6,6,1,0,0,1
"148",148,"EDWIN QUIRARTE",0,0,0,0,0,0,0,0,0,0,0,0,0
"149",149,"EDWIN SALAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"150",150,"EGER ACOSTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"151",151,"EL'HAJJ MUHAMMAD",0,0,0,0,0,0,0,0,0,0,0,0,0
"152",152,"ELIEZER ORTIZ",21,5,9,0,0,2,7,0,4,0,2,0,0
"153",153,"ELISEO ALDAZABA",18,3,5,1,0,0,2,5,5,0,0,0,0
"154",154,"ELMER REYES",52,7,17,1,1,1,9,2,8,2,0,1,0
"155",155,"EMMANUEL AVILA",50,10,19,3,0,1,7,3,9,1,0,0,1
"156",156,"ENRIQUE OSORIO",47,2,13,2,0,0,5,5,6,0,2,0,1
"157",157,"ERIC AGUILERA",46,6,15,2,0,2,3,6,13,0,0,1,0
"158",158,"ERIC MEZA",22,2,8,3,0,0,3,2,7,1,0,1,0
"159",159,"ERICK RODRIGUEZ",5,0,1,0,0,0,0,0,0,0,0,0,0
"160",160,"ESTEBAN HARO",0,0,0,0,0,0,0,0,0,0,0,0,0
"161",161,"EUMIR SEPULVEDA",0,0,0,0,0,0,0,0,0,0,0,0,0
"162",162,"EVERTH CABRERA",47,2,8,2,1,0,4,3,14,0,1,0,4
"163",163,"FABIAN COTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"164",164,"FABIAN WILLIAMSON",0,0,0,0,0,0,0,0,0,0,0,0,0
"165",165,"FEDERICO CASTANEDA",0,0,0,0,0,0,0,0,0,0,0,0,0
"166",166,"FELIPE ARREDONDO",0,0,0,0,0,0,0,0,0,0,0,0,0
"167",167,"FELIPE GONZALEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"168",168,"FELIX PEREZ",48,9,10,2,0,1,6,6,11,1,0,1,0
"169",169,"FELIX PIE",40,6,10,3,0,2,5,6,5,0,1,1,0
"170",170,"FERNANDO FLORES",30,2,4,1,0,1,3,2,6,0,0,0,0
"171",171,"FERNANDO GALLEGOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"172",172,"FERNANDO VILLALOBOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"173",173,"FRANCISCO CAMPOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"174",174,"FRANCISCO CORDOBA",51,8,13,4,0,1,5,1,14,2,0,1,0
"175",175,"FRANCISCO DEL ROSARIO",0,0,0,0,0,0,0,0,0,0,0,0,0
"176",176,"FRANCISCO GIL",0,0,0,0,0,0,0,0,0,0,0,0,0
"177",177,"FRANCISCO HARO",0,0,0,0,0,0,0,0,0,0,0,0,0
"178",178,"FRANCISCO LUGO",12,1,3,0,0,0,2,0,1,0,1,1,0
"179",179,"FRANCISCO MORENO",0,0,0,0,0,0,0,0,0,0,0,0,0
"180",180,"FRANCISCO RIVERA",17,1,3,0,1,1,4,2,2,1,0,0,0
"181",181,"FRANCISCO RODRIGUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"182",182,"FRANK DIAZ",39,5,13,2,0,2,9,8,3,1,0,1,0
"183",183,"FRANKIE DE LA CRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"184",184,"FREDDY GARCIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"185",185,"FREDY QUINTERO",0,0,0,0,0,0,0,0,0,0,0,0,0
"186",186,"GABE AGUILAR",0,0,0,0,0,0,0,0,0,0,0,0,0
"187",187,"GABINO AVALOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"188",188,"GABRIEL GUTIERREZ",14,3,3,0,0,0,1,3,2,0,0,0,0
