"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH","PA","AVG","OBP","SLG","OPS"
"203","SERGIO GARCIA",19,1,5,0,0,0,1,0,2,0,0,0,1,20,0.263,0.263,0.263,0.526
"204","SERGIO PEREZ",4,0,3,1,0,0,3,0,0,0,0,0,0,4,0.75,0.75,1.25,2
"205","STEVE CARRILLO",10,2,2,0,0,0,2,1,3,1,0,0,0,11,0.2,0.333,0.2,0.533
"206","TONY CAMPANA",27,7,11,3,0,0,2,0,2,0,3,0,2,29,0.407,0.407,0.63,1.037
"207","URIAK MARQUEZ",21,3,6,1,0,0,5,0,4,1,1,1,0,22,0.286,0.304,0.381,0.685
"208","VICTOR MENDOZA",4,0,1,1,0,0,1,0,1,0,0,0,0,4,0.25,0.25,0.75,1
"209","WALTER IBARRA",27,2,6,0,1,0,2,0,4,0,0,0,1,28,0.222,0.222,0.333,0.555
"210","WILFREDO RODRIGUEZ",22,2,8,1,0,1,3,1,0,0,0,0,0,23,0.364,0.391,0.636,1.027
"211","YADIR DRAKE",22,6,12,2,0,2,8,3,2,1,0,0,0,25,0.545,0.615,1.091,1.706
"212","YANCARLO ANGULO",1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
"213","YORDANYS LINARES",21,5,7,2,0,0,0,4,2,0,3,0,0,25,0.333,0.44,0.524,0.964
"214","YOSMANY GUERRA",22,5,7,1,2,0,2,5,4,1,0,0,0,27,0.318,0.464,0.682,1.146
"215","YUNIESKY BETANCOURT",26,5,11,1,0,2,7,2,3,0,0,1,0,29,0.423,0.448,0.808,1.256
"216","JOSE LUGO",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"217","KEVIN FLORES",1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
"218","JIBRAN CASTRO",3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
"219","RAINEL ROSARIO",4,0,1,0,0,0,0,0,2,0,0,0,0,4,0.25,0.25,0.25,0.5
"220","JOE MUNOZ",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"221","HECTOR HERNANDEZ",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"222","JOSE MORENO",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"223","MANUEL ORDUNO",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
