"","Pitcher_Name","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV","IP","ERA","WHIP"
"178","LUIS NIEBLA",17,2,8,8,13,10,0,1,2,0,0,16,4.5,1.69
"179","LUIS PAYAN",19,4,16,13,5,5,0,0,2,0,0,10,11.7,2.4
"180","LUIS PEREZ",19,3,13,12,13,10,0,1,1,0,0,18.2,5.79,1.55
"181","MAIKEL CLETO",7,0,2,2,7,3,0,0,2,0,3,9,2,1.11
"182","MANNY ACOSTA",8,0,0,0,8,0,0,3,0,4,0,12.2,0,0.63
"183","MANNY BARREDA",13,2,10,10,6,5,1,0,0,0,0,7,12.86,2.57
"184","MANUEL AL FLORES",26,3,18,18,17,4,0,0,2,0,0,17.1,9.35,1.73
"185","MANUEL BAEZ",9,1,4,4,5,0,0,0,0,6,0,8.1,4.32,1.08
"186","MANUEL VALDEZ",3,0,6,6,7,5,0,0,1,5,0,5,10.8,1.6
"187","MARCO ANTONIO DUARTE",22,6,16,14,12,8,0,1,0,0,0,18,7,1.67
"188","MARCO CAMARENA",7,1,6,6,2,4,0,0,0,0,0,9,6,1.22
"189","MARCO CARRILLO",24,3,11,10,12,7,0,1,0,0,0,23,3.91,1.35
"190","MARCO MENDIVIL",5,1,3,1,1,0,0,0,0,0,0,3.1,2.7,1.5
"191","MARCO QUEVEDO",14,2,4,4,8,3,0,1,0,1,0,12.2,2.84,1.34
"192","MARCO RAMIREZ",5,0,6,5,4,5,0,1,0,0,0,4.2,9.64,2.14
"193","MARCO TOVAR",14,3,6,6,10,10,0,3,0,0,0,23.2,2.28,1.01
"194","MARCOS MACHADO",10,2,8,8,2,2,0,0,0,0,0,3.2,19.64,3.27
"195","MARCOS RIVAS",9,1,5,4,4,2,0,0,0,2,0,11,3.27,1
"196","MARIO GONZALEZ",31,3,16,14,9,2,0,1,1,0,0,22,5.73,1.5
"197","MARIO MEZA",4,0,3,2,2,0,0,0,0,0,0,2,9,2
"198","MARIO MORALES",15,2,8,6,6,4,1,0,0,3,0,10.2,5.06,1.78
"199","MARK SERRANO",4,2,2,2,5,0,0,0,0,2,0,4.2,3.86,0.86
"200","MARK SIMON",11,2,6,5,7,3,0,0,0,0,0,9.2,4.66,1.45
"201","MARLON ARIAS",30,2,23,21,21,19,0,0,2,0,0,24.2,7.66,1.99
"202","MARTIN SOTELO",21,3,16,15,3,4,0,1,0,1,0,7.2,17.61,3.26
"203","MAURICIO LARA",26,2,17,15,16,8,0,0,2,0,0,16.1,8.27,2.08
"204","MICHAELANGELO GUZMAN",7,1,6,4,1,5,0,0,1,0,0,2,18,6
"205","MIGUEL MEJIA",16,2,10,9,8,7,0,2,0,2,1,12.2,6.39,1.82
"206","MIGUEL PENA",13,3,10,8,5,8,0,0,0,0,0,13.1,5.4,1.57
"207","MITCH LAMBSON",26,1,7,6,23,8,0,4,0,0,0,31.1,1.72,1.09
"208","NATHANAEL SANTIAGO",8,0,6,6,13,6,0,0,0,5,0,10.2,5.06,1.31
"209","NESTOR MOLINA",5,0,0,0,11,2,0,2,0,0,0,13,0,0.54
"210","NICK STRUCK",9,0,2,1,12,3,0,1,1,3,0,12.2,0.71,0.95
"211","NICOLAS HEREDIA",10,1,7,7,12,4,0,1,0,0,0,9.2,6.52,1.45
"212","NORMAN ELENES",8,0,3,1,7,4,1,1,0,0,0,9.1,0.96,1.29
"213","OCTAVIO ACOSTA",21,2,10,9,20,6,0,1,0,0,0,24,3.38,1.12
"214","ORLANDO LARA",21,5,11,11,17,5,0,1,1,0,0,20,4.95,1.3
"215","OSCAR FELIX",5,1,6,6,5,3,0,0,0,3,0,4,13.5,2
"216","OSCAR HURTADO",15,0,14,12,8,13,0,0,0,3,0,10.1,10.45,2.71
"217","OSCAR VERDUGO",16,3,10,10,9,3,0,0,1,0,0,11,8.18,1.73
"218","OSWALDO MARTINEZ",10,1,2,2,2,4,0,1,0,0,0,8.2,2.08,1.62
"219","OZZIE MENDEZ",7,0,3,2,6,4,0,1,0,2,0,6.1,2.84,1.74
"220","PABLO ORTEGA",8,3,6,5,4,1,0,0,0,0,0,4,11.25,2.25
"221","PATRICK JOHNSON",15,3,9,8,9,4,0,1,2,0,0,15,4.8,1.27
"222","PATRICK MCCOY",6,0,0,0,5,1,0,0,0,5,0,8,0,0.88
"223","PAUL CLEMENS",10,1,3,2,5,3,0,0,0,0,0,11.1,1.59,1.15
"224","PAUL PAEZ",3,0,6,6,2,4,0,0,0,0,0,2.1,23.14,3
"225","PEDRO RODRIGUEZ",4,0,0,0,4,2,0,0,0,0,5,9,0,0.67
"226","PEDRO VILLARREAL",3,1,2,2,4,0,0,0,0,2,0,8.2,2.08,0.35
"227","PHIL COKE",6,0,4,4,9,1,0,1,1,0,0,10,3.6,0.7
"228","RAFAEL CORDOVA",6,0,3,2,3,0,0,0,0,0,0,4,4.5,1.5
"229","RAFAEL DIAZ",12,4,6,6,12,6,0,0,0,0,0,15,3.6,1.2
"230","RAFAEL MARTIN",5,1,2,2,11,0,0,0,1,0,5,8.1,2.16,0.6
"231","RAFAEL PINEDA",15,0,7,7,9,6,0,0,0,0,0,13,4.85,1.62
"232","RAUL BARRON",14,0,5,5,7,1,0,0,0,0,4,9,5,1.67
"233","RAUL CARRILLO",32,5,16,15,14,6,0,2,1,0,0,22.1,6.04,1.7
"234","RAUL VALDES",19,2,5,5,15,3,0,3,0,0,0,16.1,2.76,1.35
"235","REFUGIO MARIN",10,0,5,5,1,6,0,0,0,0,0,4,11.25,4
"236","REINIER ROIBAL",21,0,14,14,14,7,0,0,2,1,0,13.1,9.45,2.1
"237","RENE COSS",4,0,5,5,1,3,0,0,0,0,0,2,22.5,3.5
"238","RICARDO JACQUEZ",6,0,2,2,3,2,1,0,1,0,0,3,6,2.67
"239","RICARDO RIVERO",5,0,1,1,1,2,0,0,0,1,0,2.2,3.38,2.62
"240","ROBERT GARCIA",13,1,7,6,9,7,1,1,0,0,0,10.1,5.23,1.94
"241","ROBERTO ESPINOSA",5,2,4,4,4,2,0,1,1,1,0,4,9,1.75
"242","ROBINSON LOPEZ",23,1,12,12,7,12,2,1,1,0,0,20.1,5.31,1.72
"243","RODOLFO AGUILAR",9,0,9,6,4,4,0,0,0,0,0,5.1,10.12,2.44
"244","RODOLFO AGUIRRE",26,3,15,15,8,10,0,1,0,0,0,14.1,9.42,2.51
"245","RODRIGO VALENZUELA",16,0,7,5,9,1,0,0,0,0,0,7.2,5.87,2.22
"246","ROGELIO BERNAL",19,0,8,5,12,13,0,2,0,0,0,21.1,2.11,1.5
"247","ROGELIO MARTINEZ",7,0,4,3,6,4,0,0,0,0,0,8.2,3.12,1.27
"248","ROLANDO VALDEZ",35,4,17,16,9,2,0,2,2,0,0,22,6.55,1.68
"249","ROMAN PENA",7,1,2,2,1,3,0,0,0,1,0,7.2,2.35,1.3
"250","ROMARIO GIL",12,0,8,6,26,7,0,1,0,0,0,18.2,2.89,1.02
"251","RONALD BELISARIO",9,0,2,0,13,1,0,2,0,0,6,12.2,0,0.79
"252","ROY MERRITT",24,1,9,9,11,5,0,0,0,0,0,19.1,4.19,1.5
"253","RUBEN VICENTE",9,1,4,3,4,3,0,0,0,0,0,8,3.38,1.5
"254","RUDDY ACOSTA",24,2,13,11,19,8,0,2,1,0,0,25,3.96,1.28
"255","RUDY GONZALEZ",7,1,3,3,5,1,0,0,1,0,0,4,6.75,2
