"","Pitcher_Name","SO","BB","IP","ERA","WHIP","BB/9","K/9"
"85","FREDY QUINTERO",3,2,3.1,0,1.2,5.4,8.1
"86","GABE AGUILAR",4,2,2.2,0,1.88,6.75,13.5
"87","GABINO AVALOS",0,1,0,NA,Inf,Inf,NA
"88","GERARDO GUTIERREZ",3,0,2,0,0.5,0,13.5
"89","GERARDO SANCHEZ",2,0,2,0,0.5,0,9
"90","GONZALO SANUDO",2,0,3,0,0.67,0,6
"91","GUILLERMO TRUJILLO",1,1,5.1,6.75,1.69,1.69,1.69
"92","HASSAN PENA",4,3,3,3,3.67,9,12
"93","HECTOR AMBRIZ",2,2,3.2,4.91,1.64,4.91,4.91
"94","HECTOR GALVAN",2,2,5.1,6.75,2.06,3.38,3.38
"95","HENDERSON ALVAREZ",4,2,5,1.8,1,3.6,7.2
"96","HENRY OMANA",1,3,2,0,1.5,13.5,4.5
"97","HERIBERTO RUELAS",1,3,2.2,0,1.12,10.12,3.38
"98","HUGO GUTIERREZ",1,0,1,54,7,0,9
"99","HUMBERTO MONTIEL",0,3,3.1,13.5,2.7,8.1,0
"100","IRWIN DELGADO",4,2,5.2,3.18,1.24,3.18,6.35
"101","ISAAC JIMENEZ",2,0,2,4.5,1,0,9
"102","ISMAEL CASTILLO",3,2,3,9,0.67,6,9
"103","IVAN SALAS",2,0,2,0,0,0,9
"104","IVAN ZAVALA",2,2,1.2,10.8,3,10.8,10.8
"105","JAIME LUGO",3,0,4,4.5,1.25,0,6.75
"106","JASON URQUIDEZ",1,0,1,0,1,0,9
"107","JAVIER REYNOSO",0,0,1.2,10.8,1.8,0,0
"108","JAVIER SOLANO",9,2,10,2.7,1,1.8,8.1
"109","JEAN MACHI",4,0,3.2,0,0.82,0,9.82
"110","JEFF IBARRA",4,0,3.2,0,0.82,0,9.82
"111","JESSE ESTRADA",1,0,2.1,0,1.29,0,3.86
"112","JESUS ADRIAN CASTILLO",6,2,5,1.8,1.2,3.6,10.8
"113","JESUS ALCANTAR",1,0,1.1,20.25,3,0,6.75
"114","JESUS ANGUAMEA",3,4,5.2,0,1.41,6.35,4.76
"115","JESUS BARRAZA",4,2,5.1,0,0.38,3.38,6.75
"116","JESUS GARCIA",1,0,2.1,11.57,2.14,0,3.86
"117","JOAQUIN LARA",5,0,2.1,7.71,1.71,0,19.29
"118","JOHN MILLAN",0,0,3.1,8.1,2.1,0,0
"119","JONATHAN CASTELLANOS",1,2,6,0,1,3,1.5
"120","JONATHAN FRUTOS",0,0,1.1,6.75,2.25,0,0
"121","JONATHAN PARTIDA",0,1,1.2,0,0.6,5.4,0
"122","JORDAN ABOITES",3,0,1.2,10.8,1.2,0,16.2
"123","JORGE IBARRA",3,0,3,3,1,0,9
"124","JORGE REYES",2,2,3,3,1.33,6,6
"125","JORGE RIVERA",2,0,4.2,0,1.07,0,3.86
"126","JOSE ASCANIO",2,1,2.1,3.86,1.29,3.86,7.71
"127","JOSE BARAJAS",2,3,1,54,8,27,18
"128","JOSE CARLOS MEDINA",2,1,2.1,3.86,1.71,3.86,7.71
"129","JOSE LOPEZ CRUZ",2,0,2.2,3.38,1.88,0,6.75
"130","JOSE MANUEL LOPEZ",2,2,3.1,2.7,2.4,5.4,5.4
"131","JOSE MARRUJO",3,2,5,3.6,1.2,3.6,5.4
"132","JOSE MERAZ",1,0,0.2,13.5,3,0,13.5
"133","JOSE PINA",7,3,10,2.7,0.8,2.7,6.3
"134","JOSE SAMAYOA",2,1,6,0,0.33,1.5,3
"135","JOSH JUDY",0,0,1.1,0,0,0,0
"136","JOSH LOWEY",10,6,8.1,4.32,1.68,6.48,10.8
"137","JOSH LUEKE",1,0,4,0,0,0,2.25
"138","JOVANY LOPEZ",1,0,0.2,13.5,1.5,0,13.5
"139","JUAN MACIAS",4,1,3,0,1,3,12
"140","JUAN OMAR ESPINOZA",2,0,3,0,0,0,6
"141","JUAN PABLO ORAMAS",5,2,5,1.8,1.8,3.6,9
"142","JUAN RAMON NORIEGA",1,0,3,0,0.67,0,3
"143","JUAN RODRIGUEZ",1,2,3,0,0.67,6,3
"144","JUAN SANDOVAL",2,0,2,9,1,0,9
"145","JULIAN ARBALLO",1,0,0.2,0,3,0,13.5
"146","JULIO FELIX",2,0,5.1,6.75,0.75,0,3.38
"147","KELVIN MARTE",0,4,4.1,6.23,2.31,8.31,0
"148","KYLE DRABEK",1,4,1,63,8,36,9
"149","KYLE LOBSTEIN",5,1,5.1,0,1.12,1.69,8.44
"150","LEURIS GOMEZ",3,1,4,2.25,0.75,2.25,6.75
"151","LINDER CASTRO",3,1,3,6,2,3,9
"152","LUIS ANGEL DANIEL",5,2,5,3.6,0.8,3.6,9
"153","LUIS AYALA",5,2,2.2,10.12,2.25,6.75,16.88
"154","LUIS DE LA O",2,0,4.1,0,0.46,0,4.15
"155","LUIS IVAN RODRIGUEZ",3,4,5,10.8,1.8,7.2,5.4
"156","LUIS MENDEZ",0,3,3.2,14.73,2.45,7.36,0
"157","LUIS NIEBLA",5,6,9.1,4.82,1.61,5.79,4.82
"158","LUIS PAYAN",2,2,5,3.6,1.6,3.6,3.6
"159","LUIS PEREZ",5,3,5.1,1.69,1.5,5.06,8.44
"160","MAIKEL CLETO",1,1,2,4.5,1.5,4.5,4.5
"161","MANNY ACOSTA",5,0,4,0,0.5,0,11.25
"162","MANUEL AL FLORES",4,0,5,5.4,1.2,0,7.2
"163","MANUEL BAEZ",2,0,3,6,1.33,0,6
"164","MANUEL VALDEZ",4,1,2.2,6.75,0.75,3.38,13.5
"165","MARCO ANTONIO DUARTE",2,2,3.2,14.73,2.73,4.91,4.91
"166","MARCO CAMARENA",0,0,1.2,0,0,0,0
"167","MARCO CARRILLO",6,0,5.1,3.38,0.94,0,10.12
"168","MARCO MENDIVIL",0,0,1.1,6.75,1.5,0,0
"169","MARCO QUEVEDO",2,2,3.2,4.91,1.91,4.91,4.91
