"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"285","JORGE REYES",0,0,0,0,0,0,0,0,0,0,0,0,0
"286","JORGE RIVERA",0,0,0,0,0,0,0,0,0,0,0,0,0
"287","JOSE AGUILAR",50,7,18,3,1,2,15,8,8,1,5,2,2
"288","JOSE AMADOR",79,11,28,7,0,4,19,9,14,3,0,1,0
"289","JOSE ASCANIO",0,0,0,0,0,0,0,0,0,0,0,0,0
"290","JOSE AUGUSTO FIGUEROA",53,7,14,2,0,0,5,9,12,0,1,1,1
"291","JOSE BARAJAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"292","JOSE CARLOS MEDINA",0,0,0,0,0,0,0,0,0,0,0,0,0
"293","JOSE CARLOS URENA",19,3,5,1,0,0,4,6,3,1,1,0,0
"294","JOSE CRUZ",1,1,0,0,0,0,0,0,1,0,0,0,0
"295","JOSE FRUTOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"296","JOSE HAROS",0,0,0,0,0,0,0,0,0,0,0,0,0
"297","JOSE HEBERTO FELIX",26,3,9,1,0,0,6,3,1,0,1,0,1
"298","JOSE ISIDRO MARQUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"299","JOSE LOPEZ CRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"300","JOSE LUGO",3,0,0,0,0,0,0,0,1,1,0,0,0
"301","JOSE LUNA",39,7,12,2,1,2,6,1,10,1,0,0,0
"302","JOSE MANUEL LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"303","JOSE MANUEL OROZCO",78,12,19,4,0,3,13,9,18,1,0,0,0
"304","JOSE MARRUJO",0,0,0,0,0,0,0,0,0,0,0,0,0
"305","JOSE MARTINEZ",64,6,18,1,0,0,6,1,15,5,0,0,1
"306","JOSE MERAZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"307","JOSE MORENO",2,0,0,0,0,0,0,0,1,0,0,0,0
"308","JOSE PINA",0,0,0,0,0,0,0,0,0,0,0,0,0
"309","JOSE RUIZ",80,5,19,4,0,0,8,5,15,1,0,0,0
"310","JOSE SAMAYOA",0,0,0,0,0,0,0,0,0,0,0,0,0
"311","JOSE VARGAS",75,14,25,3,0,7,14,5,18,1,2,0,0
"312","JOSH JUDY",0,0,0,0,0,0,0,0,0,0,0,0,0
"313","JOSH LOWEY",0,0,0,0,0,0,0,0,0,0,0,0,0
"314","JOSH LUEKE",0,0,0,0,0,0,0,0,0,0,0,0,0
"315","JOSH RODRIGUEZ",21,0,3,1,0,0,1,3,7,0,0,0,0
"316","JOSH ROMANSKI",75,16,17,5,0,2,7,13,12,0,0,0,2
"317","JOVAN ROSA",82,8,26,4,0,2,13,4,14,2,0,1,0
"318","JOVANY LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"319","JUAN APODACA",55,9,14,2,0,6,15,7,9,1,0,1,0
"320","JUAN CARLOS GAMBOA",22,1,4,2,0,0,4,6,6,0,0,0,0
"321","JUAN CARLOS GARCIA",4,0,0,0,0,0,0,0,3,0,0,0,0
"322","JUAN GRULLON",0,0,0,0,0,0,0,0,0,0,0,0,0
"323","JUAN MACIAS",14,4,2,0,0,0,0,0,6,0,0,0,0
"324","JUAN MARTINEZ",77,10,21,2,1,1,4,8,13,1,0,0,1
"325","JUAN OMAR ESPINOZA",0,0,0,0,0,0,0,0,0,0,0,0,0
